place_standardized_id,place_standardized,country_code,place_standardized_cc,authority_file_uri,latitude,longitude,region,n
5592,Boezinge,BE,Boezinge BE,http://sws.geonames.org/2801694/,50.89672,2.85421,A,0
5593,Bohmte,DE,Bohmte DE,http://sws.geonames.org/2946923/,52.36667,8.31667,B,0
5594,Bohnsdorf,DE,Bohnsdorf DE,http://sws.geonames.org/2946887/,52.39434,13.57339,B,0
5595,Boignée,BE,Boignée BE,http://sws.geonames.org/2801676/,50.50082,4.60902,F,0
5596,Boka,RS,Boka RS,http://sws.geonames.org/792479/,45.3554,20.82987,I,0.6931471805599453
5597,Bolbec,FR,Bolbec FR,http://sws.geonames.org/3031871/,49.57321,0.47339,F,0
5598,Bolheim,DE,Bolheim DE,http://sws.geonames.org/2946713/,48.63141,10.14995,D,0
5599,Bollezeele,FR,Bollezeele FR,http://sws.geonames.org/3031865/,50.86687,2.34751,A,0
5600,Bolligen,CH,Bolligen CH,http://sws.geonames.org/2661456/,46.9751,7.49697,D,0.6931471805599453
5601,Bollingstedt,DE,Bollingstedt DE,http://sws.geonames.org/2946610/,54.59229,9.41738,C,0
5602,Bologne,FR,Bologne FR,http://sws.geonames.org/3031862/,48.20005,5.14209,F,0
5603,Bölsberg,DE,Bölsberg DE,http://sws.geonames.org/2946591/,50.66667,7.91667,D,0
5604,Bombaye,BE,Bombaye BE,http://sws.geonames.org/2801573/,50.73015,5.74533,A,0
5605,Bondues,FR,Bondues FR,http://sws.geonames.org/3031817/,50.70196,3.09497,A,0
5606,Bonheiden,BE,Bonheiden BE,http://sws.geonames.org/2801539/,51.02261,4.54714,A,0
5607,Bonnat,FR,Bonnat FR,http://sws.geonames.org/3031783/,46.33333,1.9,F,0
5608,Boortmeerbeek,BE,Boortmeerbeek BE,http://sws.geonames.org/2801483/,50.97929,4.57443,A,0
5609,Bopfingen,DE,Bopfingen DE,http://sws.geonames.org/2946368/,48.85847,10.35417,D,0
5610,Borgentreich,DE,Borgentreich DE,http://sws.geonames.org/2946291/,51.56917,9.24113,D,0
5611,Borgercompagnie,NL,Borgercompagnie NL,http://sws.geonames.org/2758618/,53.12333,6.81389,A,0
5612,Borgestad,NO,Borgestad NO,http://sws.geonames.org/3160662/,59.16632,9.65006,C,0
5613,Borgheim,NO,Borgheim NO,http://sws.geonames.org/7626347/,59.22629,10.40745,C,0
5614,Borghorst,DE,Borghorst DE,http://sws.geonames.org/2946265/,52.12264,7.39431,B,0
5615,Borgloon,BE,Borgloon BE,http://sws.geonames.org/2801467/,50.80505,5.34366,A,0
5616,Borgwedel,DE,Borgwedel DE,http://sws.geonames.org/2946238/,54.5,9.66667,C,0.6931471805599453
5617,Borkum,DE,Borkum DE,http://sws.geonames.org/2946206/,53.58094,6.69153,A,0
5618,Borlänge,SE,Borlänge SE,http://sws.geonames.org/2720383/,60.4858,15.43714,C,1.3862943611198906
